scenario,flow_id,slice_type,tx_pkts,rx_pkts,lost_pkts,delivery_ratio_pct,mean_delay_ms,throughput_mbps,sla_violated
baseline,1,URLLC,1000,905,94,90.56,11.14,20.04,1
baseline,2,eMBB,1000,847,152,84.79,15.39,36.36,0
baseline,3,mMTC,1000,887,112,88.73,17.16,13.07,0
baseline,4,URLLC,1000,912,87,91.27,10.83,30.19,1
baseline,5,eMBB,1000,858,141,85.88,18.3,31.62,0
baseline,6,mMTC,1000,912,87,91.24,16.39,33.21,0
baseline,7,URLLC,1000,839,160,83.93,11.6,37.13,1
baseline,8,eMBB,1000,897,102,89.75,15.63,17.6,0
baseline,9,mMTC,1000,928,71,92.84,19.06,15.48,0
baseline,10,URLLC,1000,834,165,83.41,10.9,33.73,1
baseline,11,eMBB,1000,872,127,87.3,17.99,47.03,0
baseline,12,mMTC,1000,892,107,89.27,10.7,31.87,0
baseline,13,URLLC,1000,832,167,83.23,13.16,32.78,1
baseline,14,eMBB,1000,851,148,85.19,11.73,13.65,0
baseline,15,mMTC,1000,930,69,93.0,16.4,20.38,0
baseline,16,URLLC,1000,927,72,92.74,13.55,22.01,1
baseline,17,eMBB,1000,893,106,89.37,13.81,19.54,0
baseline,18,mMTC,1000,906,93,90.66,13.49,45.72,0
baseline,19,URLLC,1000,918,81,91.86,9.45,38.25,1
baseline,20,eMBB,1000,919,80,91.96,12.15,25.66,0
baseline,21,mMTC,1000,870,129,87.04,20.99,36.65,0
baseline,22,URLLC,1000,834,165,83.46,11.26,39.94,1
baseline,23,eMBB,1000,900,99,90.06,16.12,21.64,0
baseline,24,mMTC,1000,913,86,91.36,16.89,45.94,0
baseline,25,URLLC,1000,858,141,85.81,13.05,26.24,1
baseline,26,eMBB,1000,825,174,82.57,13.87,28.52,0
baseline,27,mMTC,1000,869,130,86.98,15.75,21.46,0
baseline,28,URLLC,1000,866,133,86.69,13.37,44.32,1
baseline,29,eMBB,1000,815,184,81.53,14.01,30.34,0
baseline,30,mMTC,1000,928,71,92.86,17.46,13.7,0
rdl_phase1,1,URLLC,1000,992,7,99.24,3.18,34.89,0
rdl_phase1,2,eMBB,1000,998,1,99.89,13.11,33.26,0
rdl_phase1,3,mMTC,1000,990,9,99.08,13.71,52.43,0
rdl_phase1,4,URLLC,1000,999,0,99.94,2.79,46.83,0
rdl_phase1,5,eMBB,1000,997,2,99.71,10.57,43.64,0
rdl_phase1,6,mMTC,1000,998,1,99.85,9.47,35.39,0
rdl_phase1,7,URLLC,1000,991,8,99.16,1.97,28.54,0
rdl_phase1,8,eMBB,1000,994,5,99.5,12.78,25.15,0
rdl_phase1,9,mMTC,1000,996,3,99.68,14.6,43.56,0
rdl_phase1,10,URLLC,1000,994,5,99.4,2.43,24.11,0
rdl_phase1,11,eMBB,1000,992,7,99.25,11.68,39.21,0
rdl_phase1,12,mMTC,1000,999,0,99.95,9.27,30.97,0
rdl_phase1,13,URLLC,1000,991,8,99.16,3.6,51.27,0
rdl_phase1,14,eMBB,1000,996,3,99.67,12.01,20.32,0
rdl_phase1,15,mMTC,1000,998,1,99.87,14.64,37.44,0
rdl_phase1,16,URLLC,1000,998,1,99.89,2.21,48.42,0
rdl_phase1,17,eMBB,1000,995,4,99.52,11.59,39.99,0
rdl_phase1,18,mMTC,1000,997,2,99.71,10.56,52.9,0
rdl_phase1,19,URLLC,1000,994,5,99.46,2.59,47.2,0
rdl_phase1,20,eMBB,1000,997,2,99.77,12.08,30.47,0
rdl_phase1,21,mMTC,1000,995,4,99.56,14.11,38.7,0
rdl_phase1,22,URLLC,1000,998,1,99.84,2.78,26.99,0
rdl_phase1,23,eMBB,1000,997,2,99.74,10.24,26.81,0
rdl_phase1,24,mMTC,1000,998,1,99.89,13.54,43.24,0
rdl_phase1,25,URLLC,1000,991,8,99.18,2.9,20.83,0
rdl_phase1,26,eMBB,1000,997,2,99.74,15.38,44.76,0
rdl_phase1,27,mMTC,1000,991,8,99.11,11.71,40.84,0
rdl_phase1,28,URLLC,1000,995,4,99.52,2.98,49.38,0
rdl_phase1,29,eMBB,1000,998,1,99.86,11.91,35.24,0
rdl_phase1,30,mMTC,1000,995,4,99.57,10.41,36.68,0
