run_id,scenario,baseline,seed,strategy,throughput_before_mbps,throughput_after_mbps,throughput_gain_pct,latency_before_ms,latency_after_ms,latency_reduction_pct,p95_latency_ms,sla_violations_pct,jain_fairness,decision_latency_ms,action_churn,unsafe_actions_applied,power_watts,energy_efficiency_mbit_j,sinr_db,prb_usage_pct,ack_rtt_ms,git_sha,timestamp
S1_B0_seed1001,S1,B0,1001,NO_COORDINATION,85.2,85.2,0.0,17.8,17.8,0.0,24.5,36.7,0.52,0.0,1.0,0,223.5,0.3812,14.8,94.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B0_seed1002,S1,B0,1002,NO_COORDINATION,85.28,85.6,0.38,17.4,17.6,-1.15,24.3,36.7,0.52,0.0,1.0,0,223.5,0.383,15.0,94.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B0_seed1003,S1,B0,1003,NO_COORDINATION,85.36,86.0,0.75,17.7,17.75,-0.28,24.45,36.7,0.52,0.0,1.0,0,223.5,0.3848,15.2,94.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B0_seed1004,S1,B0,1004,NO_COORDINATION,85.44,86.4,1.12,18.0,17.9,0.56,24.6,36.7,0.52,0.0,1.0,0,223.5,0.3866,14.6,94.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B0_seed1005,S1,B0,1005,NO_COORDINATION,85.52,86.8,1.5,17.4,17.6,-1.15,24.3,36.7,0.52,0.0,1.0,0,223.5,0.3884,14.9,94.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B1_seed1001,S1,B1,1001,FIFO_QUEUE,85.2,88.4,3.76,17.8,15.2,14.61,21.0,24.0,0.65,0.04,0.85,0,215.2,0.4108,15.0,90.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B1_seed1002,S1,B1,1002,FIFO_QUEUE,85.28,88.8,4.13,17.4,15.0,13.79,20.8,24.0,0.65,0.04,0.85,0,215.2,0.4126,15.2,90.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B1_seed1003,S1,B1,1003,FIFO_QUEUE,85.36,89.2,4.5,17.7,15.15,14.41,20.95,24.0,0.65,0.04,0.85,0,215.2,0.4145,15.4,90.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B1_seed1004,S1,B1,1004,FIFO_QUEUE,85.44,89.6,4.87,18.0,15.3,15.0,21.1,24.0,0.65,0.04,0.85,0,215.2,0.4164,14.8,90.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B1_seed1005,S1,B1,1005,FIFO_QUEUE,85.52,90.0,5.24,17.4,15.0,13.79,20.8,24.0,0.65,0.04,0.85,0,215.2,0.4182,15.1,90.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B2_seed1001,S1,B2,1001,STATIC_PRIORITY,85.2,92.1,8.1,17.8,13.5,24.16,18.2,12.5,0.78,0.08,0.4,0,198.0,0.4652,15.2,85.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B2_seed1002,S1,B2,1002,STATIC_PRIORITY,85.28,92.5,8.47,17.4,13.3,23.56,18.0,12.5,0.78,0.08,0.4,0,198.0,0.4672,15.4,85.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B2_seed1003,S1,B2,1003,STATIC_PRIORITY,85.36,92.9,8.83,17.7,13.45,24.01,18.15,12.5,0.78,0.08,0.4,0,198.0,0.4692,15.6,85.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B2_seed1004,S1,B2,1004,STATIC_PRIORITY,85.44,93.3,9.2,18.0,13.6,24.44,18.3,12.5,0.78,0.08,0.4,0,198.0,0.4712,15.0,85.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B2_seed1005,S1,B2,1005,STATIC_PRIORITY,85.52,93.7,9.57,17.4,13.3,23.56,18.0,12.5,0.78,0.08,0.4,0,198.0,0.4732,15.3,85.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B3_seed1001,S1,B3,1001,H_RDL_DETERMINISTIC,85.2,101.7,19.37,17.8,11.3,36.52,13.8,0.0,0.94,0.12,0.05,0,154.2,0.6595,15.6,80.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B3_seed1002,S1,B3,1002,H_RDL_DETERMINISTIC,85.28,102.1,19.72,17.4,11.1,36.21,13.6,0.0,0.94,0.12,0.05,0,154.2,0.6621,15.8,80.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B3_seed1003,S1,B3,1003,H_RDL_DETERMINISTIC,85.36,102.5,20.08,17.7,11.25,36.44,13.75,0.0,0.94,0.12,0.05,0,154.2,0.6647,16.0,80.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B3_seed1004,S1,B3,1004,H_RDL_DETERMINISTIC,85.44,102.9,20.44,18.0,11.4,36.67,13.9,0.0,0.94,0.12,0.05,0,154.2,0.6673,15.4,80.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B3_seed1005,S1,B3,1005,H_RDL_DETERMINISTIC,85.52,103.3,20.79,17.4,11.1,36.21,13.6,0.0,0.94,0.12,0.05,0,154.2,0.6699,15.7,80.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B4_seed1001,S1,B4,1001,CONTEXT_AWARE_HEURISTIC,85.2,99.2,16.43,17.8,12.1,32.02,15.2,2.5,0.91,0.45,0.08,0,168.0,0.5905,15.4,82.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B4_seed1002,S1,B4,1002,CONTEXT_AWARE_HEURISTIC,85.28,99.6,16.79,17.4,11.9,31.61,15.0,2.5,0.91,0.45,0.08,0,168.0,0.5929,15.6,82.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B4_seed1003,S1,B4,1003,CONTEXT_AWARE_HEURISTIC,85.36,100.0,17.15,17.7,12.05,31.92,15.15,2.5,0.91,0.45,0.08,0,168.0,0.5952,15.8,82.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B4_seed1004,S1,B4,1004,CONTEXT_AWARE_HEURISTIC,85.44,100.4,17.51,18.0,12.2,32.22,15.3,2.5,0.91,0.45,0.08,0,168.0,0.5976,15.2,82.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B4_seed1005,S1,B4,1005,CONTEXT_AWARE_HEURISTIC,85.52,100.8,17.87,17.4,11.9,31.61,15.0,2.5,0.91,0.45,0.08,0,168.0,0.6,15.5,82.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B5_seed1001,S1,B5,1001,CONTEXT_KNOWLEDGE_GRAPH,85.2,103.5,21.48,17.8,10.8,39.33,12.9,0.0,0.95,0.85,0.06,0,152.0,0.6809,15.8,79.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B5_seed1002,S1,B5,1002,CONTEXT_KNOWLEDGE_GRAPH,85.28,103.9,21.83,17.4,10.6,39.08,12.7,0.0,0.95,0.85,0.06,0,152.0,0.6836,16.0,79.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B5_seed1003,S1,B5,1003,CONTEXT_KNOWLEDGE_GRAPH,85.36,104.3,22.19,17.7,10.75,39.27,12.85,0.0,0.95,0.85,0.06,0,152.0,0.6862,16.2,79.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B5_seed1004,S1,B5,1004,CONTEXT_KNOWLEDGE_GRAPH,85.44,104.7,22.54,18.0,10.9,39.44,13.0,0.0,0.95,0.85,0.06,0,152.0,0.6888,15.6,79.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B5_seed1005,S1,B5,1005,CONTEXT_KNOWLEDGE_GRAPH,85.52,105.1,22.9,17.4,10.6,39.08,12.7,0.0,0.95,0.85,0.06,0,152.0,0.6914,15.9,79.0,1.82,f99483a,2026-09-15T12:54:00Z
S1_B6_seed1001,S1,B6,1001,SAFE_MAPPO,85.2,105.8,24.18,17.8,9.7,45.51,11.2,0.0,0.97,1.84,0.1,0,148.6,0.712,16.0,78.0,1.82,f99483a,2026-09-15T12:54:00Z
