scenario_id,timestamp_utc,decision_latency_ms,conflict_mitigated,sla_preserved,governance_mode
S0,2026-09-26T17:22:51Z,0.062,1,1,H-RDL
S1,2026-09-26T17:22:55Z,0.142,1,1,H-RDL
S2,2026-09-26T17:22:51Z,0.154,1,1,H-RDL
S3,2026-09-26T17:22:51Z,0.116,1,1,H-RDL
S4,2026-09-26T17:22:51Z,0.084,1,1,H-RDL
S5,2026-09-26T17:22:55Z,0.262,1,1,H-RDL
S6,2026-09-26T17:22:51Z,7.796,1,1,H-RDL
S7,2026-09-26T17:22:51Z,0.16,1,1,H-RDL
S8,2026-09-26T17:22:51Z,32.382,1,1,H-RDL
S9,2026-09-26T17:22:58Z,0.059,1,1,H-RDL
S10,2026-09-26T17:22:58Z,0.149,1,1,H-RDL
S11,2026-09-26T17:22:58Z,0.06,1,1,H-RDL
S12,2026-09-26T17:22:58Z,0.152,1,1,H-RDL
S13,2026-09-26T17:22:51Z,0.136,1,1,H-RDL
S14,2026-09-26T17:22:55Z,0.127,1,1,H-RDL
S15,2026-09-26T17:22:51Z,0.233,1,1,H-RDL
