seed,scenario,source,urllc_latency_mean_ms,urllc_latency_p99_ms,urllc_sla_violation_pct,conflict_occurrence_pct,throughput_total_mbps,pdr_pct,jain_fairness,ping_pong_ev_min,mean_tx_power_dbm,decision_latency_ms
1001,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1001,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1002,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1002,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1003,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1003,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1004,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1004,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1005,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1005,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1006,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1006,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1007,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1007,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1008,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1008,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1009,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1009,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1010,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1010,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
