time_slot_s,scenario,slice_type,ue_count,traffic_load_mbps,rsrp_dbm,sinr_db,prb_demanded,tx_power_dbm,conflict_flag,conflict_type,rdl_action,sla_met
0.0,baseline,URLLC,16,73.87,-75.55,4.26,153,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.0,rdl_phase1,URLLC,18,39.89,-103.34,12.32,158,31.83,0,NONE,ALLOW_REGULAR,1
0.2,baseline,eMBB,29,39.98,-77.69,12.19,270,43.0,0,NONE,NONE_UNMANAGED,1
0.2,rdl_phase1,eMBB,18,24.05,-75.03,21.23,73,39.26,0,NONE,ALLOW_REGULAR,1
0.4,baseline,mMTC,22,33.3,-93.0,6.92,152,43.0,0,NONE,NONE_UNMANAGED,1
0.4,rdl_phase1,mMTC,20,50.32,-75.51,8.1,250,37.85,0,NONE,ALLOW_REGULAR,1
0.6,baseline,URLLC,24,53.84,-76.49,24.89,192,43.0,0,NONE,NONE_UNMANAGED,1
0.6,rdl_phase1,URLLC,30,32.38,-99.62,24.28,198,37.36,0,NONE,ALLOW_REGULAR,1
0.81,baseline,eMBB,16,79.84,-108.0,15.44,178,43.0,0,NONE,NONE_UNMANAGED,1
0.81,rdl_phase1,eMBB,31,32.59,-76.37,3.84,97,30.69,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
1.01,baseline,mMTC,17,74.02,-101.77,4.76,195,35.95,1,POWER_OVERLOAD,NONE_UNMANAGED,0
1.01,rdl_phase1,mMTC,34,26.56,-86.99,15.0,130,39.35,0,NONE,ALLOW_REGULAR,1
1.21,baseline,URLLC,21,73.58,-99.0,8.11,83,43.0,0,NONE,NONE_UNMANAGED,1
1.21,rdl_phase1,URLLC,24,56.58,-77.48,23.52,52,34.58,0,NONE,ALLOW_REGULAR,1
1.41,baseline,eMBB,33,99.69,-107.44,6.9,117,33.49,0,NONE,NONE_UNMANAGED,1
1.41,rdl_phase1,eMBB,17,90.34,-97.07,5.63,263,35.43,1,DIRECT_PRB,QOS_BOOST_URLLC,1
1.61,baseline,mMTC,24,68.93,-75.45,17.04,52,43.0,0,NONE,NONE_UNMANAGED,1
1.61,rdl_phase1,mMTC,32,43.95,-86.78,23.6,84,32.64,0,NONE,ALLOW_REGULAR,1
1.81,baseline,URLLC,18,79.39,-104.56,8.48,103,43.0,0,NONE,NONE_UNMANAGED,1
1.81,rdl_phase1,URLLC,21,75.0,-80.15,13.62,114,39.05,0,NONE,ALLOW_REGULAR,1
2.01,baseline,eMBB,16,27.38,-95.17,8.36,50,31.31,0,NONE,NONE_UNMANAGED,1
2.01,rdl_phase1,eMBB,23,32.93,-94.54,18.23,193,30.1,0,NONE,ALLOW_REGULAR,1
2.21,baseline,mMTC,17,95.6,-85.81,5.43,59,43.0,0,NONE,NONE_UNMANAGED,1
2.21,rdl_phase1,mMTC,33,64.2,-94.96,2.96,143,38.99,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
2.42,baseline,URLLC,16,91.91,-102.65,7.74,76,35.6,0,NONE,NONE_UNMANAGED,1
2.42,rdl_phase1,URLLC,28,97.91,-83.77,23.29,110,38.65,0,NONE,ALLOW_REGULAR,1
