time_slot_s,scenario,slice_type,ue_count,traffic_load_mbps,rsrp_dbm,sinr_db,prb_demanded,tx_power_dbm,conflict_flag,conflict_type,rdl_action,sla_met
0.0,baseline,URLLC,32,43.95,-86.78,23.6,84,38.9,0,NONE,NONE_UNMANAGED,1
0.0,rdl_phase1,URLLC,32,32.44,-100.14,6.84,137,31.63,0,NONE,ALLOW_REGULAR,1
0.0,rdl_phase2,URLLC,23,60.43,-101.21,22.89,63,28.51,0,NONE,MARL_ENERGY_EFF_OPT,1
0.2,baseline,eMBB,28,86.35,-108.46,9.67,83,43.0,0,NONE,NONE_UNMANAGED,1
0.2,rdl_phase1,eMBB,23,32.93,-94.54,18.23,193,30.08,0,NONE,ALLOW_REGULAR,1
0.2,rdl_phase2,eMBB,17,95.6,-85.81,5.43,59,32.59,0,NONE,MARL_ENERGY_EFF_OPT,1
0.4,baseline,mMTC,33,64.2,-94.96,2.96,143,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.4,rdl_phase1,mMTC,16,91.91,-102.65,7.74,76,32.83,0,NONE,ALLOW_REGULAR,1
0.4,rdl_phase2,mMTC,32,90.73,-95.78,16.28,89,33.09,0,NONE,MARL_ENERGY_EFF_OPT,1
0.6,baseline,URLLC,22,89.17,-75.83,20.65,155,37.37,0,NONE,NONE_UNMANAGED,1
0.6,rdl_phase1,URLLC,25,82.59,-95.59,17.41,238,36.49,1,DIRECT_PRB,QOS_BOOST_URLLC,1
0.6,rdl_phase2,URLLC,23,32.74,-85.46,10.8,59,32.72,0,NONE,MARL_ENERGY_EFF_OPT,1
0.81,baseline,eMBB,22,35.97,-77.85,10.04,260,43.0,0,NONE,NONE_UNMANAGED,1
0.81,rdl_phase1,eMBB,22,37.83,-86.9,11.16,121,36.91,0,NONE,ALLOW_REGULAR,1
0.81,rdl_phase2,eMBB,23,48.09,-92.17,17.63,265,30.95,0,NONE,MARL_ENERGY_EFF_OPT,1
1.01,baseline,mMTC,15,29.23,-76.04,6.11,117,35.97,0,NONE,NONE_UNMANAGED,1
1.01,rdl_phase1,mMTC,26,78.28,-99.02,15.94,180,30.93,0,NONE,ALLOW_REGULAR,1
1.01,rdl_phase2,mMTC,33,35.21,-108.45,12.03,183,33.09,0,NONE,MARL_ENERGY_EFF_OPT,1
1.21,baseline,URLLC,32,74.95,-77.09,18.95,100,30.7,0,NONE,NONE_UNMANAGED,1
1.21,rdl_phase1,URLLC,25,69.85,-86.78,4.87,126,34.06,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
1.21,rdl_phase2,URLLC,28,46.09,-85.6,14.75,99,30.31,0,NONE,MARL_ENERGY_EFF_OPT,1
1.41,baseline,eMBB,27,74.19,-78.4,16.16,127,38.34,0,NONE,NONE_UNMANAGED,1
1.41,rdl_phase1,eMBB,24,42.95,-94.95,15.34,217,32.58,0,NONE,ALLOW_REGULAR,1
1.41,rdl_phase2,eMBB,29,55.37,-102.52,12.88,253,32.05,0,NONE,MARL_ENERGY_EFF_OPT,1
1.61,baseline,mMTC,17,42.7,-86.77,16.24,73,43.0,0,NONE,NONE_UNMANAGED,1
1.61,rdl_phase1,mMTC,22,73.82,-102.14,6.58,56,30.37,0,NONE,ALLOW_REGULAR,1
