seed,variant,throughput_mbps,latency_p95_ms,sla_violation_pct,jain_fairness,action_churn_per_s,decision_latency_ms,unsafe_actions_applied,queue_peak_depth
1001,A0_Full_HRDL,105.72,3.35,0.0,0.915,0.053,0.119,0,5
1002,A0_Full_HRDL,104.58,3.94,0.0,0.919,0.051,0.129,0,4
1003,A0_Full_HRDL,103.8,3.97,0.0,0.9428,0.047,0.102,0,5
1004,A0_Full_HRDL,99.82,3.78,0.0,0.9523,0.054,0.124,0,5
1005,A0_Full_HRDL,98.27,4.01,0.0,0.9236,0.049,0.135,0,3
1006,A0_Full_HRDL,99.36,3.94,0.0,0.9397,0.05,0.129,0,4
1007,A0_Full_HRDL,102.37,4.14,0.0,0.9512,0.05,0.121,0,4
1008,A0_Full_HRDL,99.41,4.06,0.0,0.9598,0.051,0.105,0,5
1009,A0_Full_HRDL,101.41,3.78,0.0,0.9461,0.05,0.112,0,4
1010,A0_Full_HRDL,100.88,3.47,0.0,0.9353,0.047,0.105,0,5
1011,A0_Full_HRDL,98.07,3.73,0.0,0.9498,0.043,0.116,0,5
1012,A0_Full_HRDL,103.71,3.56,0.0,0.9162,0.047,0.113,0,3
1013,A0_Full_HRDL,101.3,3.7,0.0,0.9502,0.047,0.116,0,5
1014,A0_Full_HRDL,101.57,3.66,0.0,0.9353,0.047,0.112,0,4
1015,A0_Full_HRDL,101.77,4.27,0.0,0.9274,0.05,0.123,0,4
1016,A0_Full_HRDL,103.79,3.94,0.0,0.9333,0.054,0.093,0,5
1017,A0_Full_HRDL,102.06,4.01,0.0,0.9292,0.05,0.118,0,3
1018,A0_Full_HRDL,102.47,3.44,0.0,0.9366,0.052,0.119,0,3
1019,A0_Full_HRDL,102.58,3.68,0.0,0.9141,0.055,0.109,0,5
1020,A0_Full_HRDL,104.11,3.55,0.0,0.9347,0.053,0.122,0,3
1021,A0_Full_HRDL,96.91,3.73,0.0,0.933,0.051,0.112,0,5
1022,A0_Full_HRDL,100.74,4.51,0.0,0.9535,0.052,0.124,0,5
1023,A0_Full_HRDL,104.86,3.94,0.0,0.9371,0.044,0.103,0,4
1024,A0_Full_HRDL,101.29,3.95,0.0,0.9088,0.057,0.107,0,3
1025,A0_Full_HRDL,102.72,4.18,0.0,0.9506,0.049,0.119,0,3
1026,A0_Full_HRDL,101.13,4.19,0.0,0.951,0.053,0.122,0,4
1027,A0_Full_HRDL,104.63,3.58,0.0,0.9204,0.055,0.125,0,3
1028,A0_Full_HRDL,101.44,3.92,0.0,0.9186,0.041,0.138,0,5
1029,A0_Full_HRDL,100.53,3.66,0.0,0.9315,0.049,0.1,0,5
1030,A0_Full_HRDL,104.41,2.99,0.0,0.9277,0.047,0.121,0,4
1001,A1_wo_Memory,101.35,6.14,2.69,0.879,0.888,0.089,0,7
1002,A1_wo_Memory,99.91,7.94,3.06,0.869,0.935,0.08,0,6
1003,A1_wo_Memory,98.92,8.03,5.24,0.8523,0.812,0.082,0,7
1004,A1_wo_Memory,93.88,7.46,6.12,0.8806,0.914,0.065,0,7
1005,A1_wo_Memory,91.92,8.15,3.48,0.8589,0.962,0.068,0,5
1006,A1_wo_Memory,93.3,7.95,4.96,0.8664,0.936,0.093,0,6
1007,A1_wo_Memory,97.11,8.56,6.01,0.8646,0.898,0.086,0,6
1008,A1_wo_Memory,93.37,8.31,6.8,0.8697,0.829,0.079,0,7
