Metric,Baseline,Mean,Std,Median,P95,CI95_Low,CI95_High,Wilcoxon_p_vs_B0,Cohen_dz_vs_B0
Vazão Total (Mbps),B0,84.975,3.371,85.25,89.724,83.717,86.234,1.0000,0.0
Vazão Total (Mbps),B1,90.299,3.118,89.685,94.807,89.135,91.463,< 0.001,1.21
Vazão Total (Mbps),B2,94.986,2.916,94.41,99.202,93.897,96.075,< 0.001,2.35
Vazão Total (Mbps),B3,101.535,2.479,101.735,105.028,100.609,102.461,< 0.001,18.57
Latência P95 URLLC (ms),B0,24.659,1.885,25.32,26.843,23.955,25.363,1.0000,0.0
Latência P95 URLLC (ms),B1,17.983,1.458,17.98,20.328,17.439,18.527,< 0.001,-2.59
Latência P95 URLLC (ms),B2,6.007,0.625,6.005,7.008,5.774,6.241,< 0.001,-8.92
Latência P95 URLLC (ms),B3,3.753,0.312,3.75,4.256,3.636,3.87,< 0.001,-10.64
Violação de SLA (%),B0,36.267,2.916,36.25,40.962,35.178,37.356,1.0000,0.0
Violação de SLA (%),B1,21.86,1.635,21.49,23.922,21.249,22.47,< 0.001,-3.87
Violação de SLA (%),B2,4.917,0.856,4.725,5.994,4.597,5.237,< 0.001,-9.6
Violação de SLA (%),B3,0.0,0.0,0.0,0.0,0.0,0.0,< 0.001,-12.44
Índice de Jain,B0,0.512,0.027,0.506,0.546,0.502,0.522,1.0000,0.0
Índice de Jain,B1,0.682,0.03,0.684,0.724,0.671,0.693,< 0.001,3.96
Índice de Jain,B2,0.76,0.028,0.762,0.799,0.75,0.771,< 0.001,5.99
Índice de Jain,B3,0.938,0.012,0.935,0.953,0.934,0.942,< 0.001,27.35
Action Churn (/s),B0,0.993,0.036,0.983,1.04,0.979,1.006,1.0000,0.0
Action Churn (/s),B1,0.62,0.024,0.617,0.653,0.611,0.629,< 0.001,-7.46
Action Churn (/s),B2,0.35,0.019,0.348,0.376,0.343,0.358,< 0.001,-13.82
Action Churn (/s),B3,0.05,0.005,0.05,0.057,0.048,0.052,< 0.001,-24.65
Latência de Decisão (ms),B0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000,0.0
Latência de Decisão (ms),B1,0.039,0.006,0.037,0.047,0.037,0.041,< 0.001,6.38
Latência de Decisão (ms),B2,0.079,0.007,0.076,0.088,0.076,0.081,< 0.001,10.81
Latência de Decisão (ms),B3,0.118,0.012,0.115,0.134,0.113,0.122,< 0.001,9.7
