seed,baseline,throughput_total_mbps,urllc_latency_mean_ms,urllc_latency_p95_ms,urllc_latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,decision_latency_ms,unsafe_actions_applied
1001,B0,83.28,17.92,26.41,30.38,30.82,0.486,100.0,0.986,0.0,3
1002,B0,85.76,18.99,25.82,29.7,37.15,0.5021,100.0,0.985,0.0,1
1003,B0,84.12,17.73,23.15,26.62,34.62,0.5312,100.0,1.007,0.0,1
1004,B0,89.48,15.75,25.78,29.65,37.09,0.5181,100.0,0.948,0.0,2
1005,B0,85.55,17.87,25.47,29.3,30.93,0.5057,100.0,0.934,0.0,1
1006,B0,86.65,17.3,22.53,25.9,41.11,0.4733,100.0,0.981,0.0,3
1007,B0,89.89,16.68,23.15,26.62,33.53,0.49,100.0,0.967,0.0,2
1008,B0,81.07,19.44,26.45,30.42,37.05,0.5368,100.0,1.028,0.0,1
1009,B0,84.75,18.33,26.06,29.97,33.59,0.4922,100.0,1.039,0.0,1
1010,B0,80.08,17.55,26.96,31.01,34.96,0.5004,100.0,0.978,0.0,1
1011,B0,85.72,17.15,21.77,25.04,37.92,0.4974,100.0,0.968,0.0,2
1012,B0,77.16,17.6,22.27,25.61,37.4,0.4766,100.0,1.007,0.0,3
1013,B0,86.73,20.28,24.5,28.18,35.32,0.506,100.0,0.968,0.0,3
1014,B0,88.03,18.11,24.35,28.0,39.68,0.4713,100.0,1.035,0.0,2
1015,B0,91.97,15.97,24.35,28.0,39.62,0.4665,100.0,1.02,0.0,1
1016,B0,80.17,20.24,24.37,28.02,35.87,0.5045,100.0,1.041,0.0,3
1017,B0,89.52,16.57,26.6,30.59,37.33,0.5021,100.0,0.989,0.0,3
1018,B0,89.28,17.48,20.47,23.54,34.82,0.5315,100.0,0.961,0.0,1
1019,B0,88.29,18.48,25.45,29.27,33.56,0.5449,100.0,1.029,0.0,2
1020,B0,83.59,17.46,26.7,30.7,39.98,0.4971,100.0,1.027,0.0,1
1021,B0,85.41,19.47,26.24,30.18,32.95,0.5392,100.0,0.978,0.0,3
1022,B0,81.84,17.48,25.71,29.56,38.21,0.5216,100.0,1.033,0.0,1
1023,B0,80.66,15.6,23.84,27.42,37.8,0.5313,100.0,0.97,0.0,1
1024,B0,84.72,22.31,25.62,29.46,33.84,0.5916,100.0,1.094,0.0,2
1025,B0,85.09,18.17,22.49,25.86,42.15,0.5045,100.0,0.999,0.0,1
1026,B0,82.77,18.28,24.61,28.3,40.78,0.5341,100.0,0.969,0.0,2
1027,B0,85.76,19.4,25.97,29.86,36.09,0.506,100.0,0.977,0.0,2
1028,B0,83.11,18.58,27.14,31.22,34.19,0.5398,100.0,0.963,0.0,3
1029,B0,83.4,14.43,20.34,23.39,33.23,0.51,100.0,0.95,0.0,2
1030,B0,85.41,18.91,25.19,28.97,36.41,0.5474,100.0,0.946,0.0,1
1001,B1,92.22,15.67,15.26,17.55,20.3,0.6671,100.0,0.61,0.038,0
1002,B1,87.03,15.31,18.42,21.19,21.27,0.689,100.0,0.647,0.038,1
1003,B1,87.55,13.67,17.16,19.73,23.01,0.6745,100.0,0.65,0.041,0
1004,B1,92.3,15.28,18.39,21.15,22.22,0.7217,100.0,0.616,0.031,0
1005,B1,89.33,15.1,15.31,17.61,21.48,0.6871,100.0,0.623,0.029,1
1006,B1,88.03,13.29,20.4,23.46,19.54,0.6968,100.0,0.65,0.037,0
1007,B1,93.96,13.67,16.62,19.11,20.54,0.7254,100.0,0.628,0.035,0
1008,B1,89.42,15.69,18.38,21.13,23.35,0.6475,100.0,0.604,0.045,1
1009,B1,91.93,15.45,16.64,19.14,20.67,0.68,100.0,0.583,0.047,1
1010,B1,91.77,16.01,17.33,19.93,21.17,0.6388,100.0,0.608,0.036,0
1011,B1,98.14,12.83,18.81,21.63,20.99,0.6886,100.0,0.626,0.035,0
1012,B1,85.12,13.14,18.55,21.33,19.74,0.6131,100.0,0.604,0.041,0
