seed,baseline,throughput_total_mbps,urllc_latency_mean_ms,urllc_latency_p95_ms,urllc_latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth,energy_efficiency_index
1001,B0,101.7,118.02,221.36,241.53,91.79,0.9848,93.83,4.8,12,623,1.0
1002,B0,96.11,110.48,221.89,241.9,88.67,0.9823,90.28,4.8,12,587,1.0
1003,B0,101.89,110.99,211.99,241.96,93.18,0.9909,95.54,4.8,12,546,1.0
1004,B0,98.98,110.58,221.92,251.63,87.24,0.974,91.47,4.8,12,683,1.0
1005,B0,97.29,131.11,221.75,251.34,92.37,0.9851,90.12,4.8,12,729,1.0
1006,B0,102.74,134.42,231.49,261.49,93.33,0.9746,95.1,4.8,12,640,1.0
1007,B0,97.48,120.01,211.96,241.9,92.59,0.9715,91.1,4.8,12,606,1.0
1008,B0,102.7,131.16,221.96,256.46,92.76,0.9837,94.73,4.8,12,639,1.0
1009,B0,101.86,136.69,221.93,251.67,93.47,0.9785,93.35,4.8,12,633,1.0
1010,B0,101.8,124.76,221.49,241.79,93.14,0.9674,93.31,4.8,12,613,1.0
1011,B0,95.89,113.08,221.93,251.84,91.04,0.9818,88.87,4.8,12,627,1.0
1012,B0,101.11,122.4,221.78,251.77,92.76,0.9899,94.09,4.8,12,706,1.0
1013,B0,97.47,116.24,221.36,241.81,92.07,0.9784,89.75,4.8,12,680,1.0
1014,B0,102.7,118.45,221.77,251.81,90.9,0.987,94.62,4.8,12,651,1.0
1015,B0,100.91,127.77,221.91,241.92,92.69,0.9903,93.9,4.8,12,713,1.0
1016,B0,104.43,140.13,231.38,251.7,93.33,0.9784,95.22,4.8,12,655,1.0
1017,B0,94.24,110.63,221.95,251.44,91.35,0.9719,88.13,4.8,12,629,1.0
1018,B0,97.88,111.89,211.76,241.89,92.42,0.9756,90.78,4.8,12,616,1.0
1019,B0,102.74,116.49,221.36,241.8,91.28,0.9808,93.85,4.8,12,593,1.0
1020,B0,103.13,131.89,221.79,251.4,92.56,0.9828,95.25,4.8,12,728,1.0
1021,B0,102.58,131.53,231.39,251.94,93.77,0.9691,94.02,4.8,12,597,1.0
1022,B0,100.41,124.92,221.57,241.87,93.28,0.9842,93.28,4.8,12,530,1.0
1023,B0,101.2,136.74,231.39,251.78,92.77,0.9763,93.14,4.8,12,610,1.0
1024,B0,95.9,113.12,221.59,241.63,91.53,0.9659,87.79,4.8,12,607,1.0
1025,B0,95.47,118.77,211.89,241.48,91.9,0.9803,87.67,4.8,12,632,1.0
1026,B0,95.56,123.21,221.84,251.66,91.95,0.9657,87.64,4.8,12,686,1.0
1027,B0,103.12,110.05,211.89,241.38,92.03,0.9859,94.93,4.8,12,672,1.0
1028,B0,98.94,121.74,221.79,251.35,91.63,0.9853,92.23,4.8,12,607,1.0
1029,B0,102.18,126.02,221.82,241.99,93.94,0.9793,94.8,4.8,12,632,1.0
1030,B0,100.41,127.01,231.84,261.32,89.99,0.9766,93.32,4.8,12,660,1.0
1001,B1,103.65,2.02,2.36,11.57,1.58,0.9969,97.98,5.0,0,240,1.03
1002,B1,99.35,1.85,2.35,2.39,0.0,0.9924,94.68,5.0,0,236,1.03
1003,B1,103.27,1.86,2.35,2.39,0.0,0.9969,98.2,5.0,0,189,1.03
1004,B1,101.39,2.27,2.38,11.91,3.38,0.9969,96.71,5.0,0,343,1.03
1005,B1,101.0,1.85,2.34,2.39,0.0,0.9966,95.83,5.0,0,364,1.03
1006,B1,104.21,3.99,21.64,41.99,7.84,0.9968,99.25,5.0,0,280,1.03
1007,B1,99.67,2.33,2.39,11.98,3.88,0.9922,95.47,5.0,0,242,1.03
1008,B1,103.71,2.01,2.36,11.56,1.49,0.9974,99.03,5.0,0,247,1.03
