seed,variant,throughput_mbps,latency_mean_ms,latency_p95_ms,latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth
1001,A0_Full_HRDL,91.92,1.85,2.34,2.39,0.0,0.9933,87.45,10.0,0,400
1002,A0_Full_HRDL,86.77,1.84,2.34,2.39,0.0,0.9793,83.1,10.0,0,379
1003,A0_Full_HRDL,93.66,1.85,2.35,2.39,0.0,0.9941,89.59,10.0,0,394
1004,A0_Full_HRDL,84.6,1.85,2.34,2.39,0.0,0.993,81.95,10.0,0,400
1005,A0_Full_HRDL,83.19,1.85,2.34,2.39,0.0,0.9893,79.49,10.0,0,400
1006,A0_Full_HRDL,92.11,1.85,2.35,2.39,0.0,0.9972,87.92,10.0,0,400
1007,A0_Full_HRDL,89.24,1.84,2.34,2.39,0.0,0.9817,85.98,10.0,0,387
1008,A0_Full_HRDL,92.94,1.85,2.35,2.39,0.0,0.9969,87.98,10.0,0,400
1009,A0_Full_HRDL,92.96,1.85,2.34,2.39,0.0,0.9913,87.99,10.0,0,400
1010,A0_Full_HRDL,91.87,1.85,2.34,2.39,0.0,0.9924,86.92,10.0,0,400
1011,A0_Full_HRDL,84.88,1.85,2.34,2.39,0.0,0.9824,81.84,10.0,0,400
1012,A0_Full_HRDL,87.89,1.85,2.34,2.39,0.0,0.9949,83.12,10.0,0,400
1013,A0_Full_HRDL,85.81,1.85,2.34,2.39,0.0,0.9865,81.81,10.0,0,400
1014,A0_Full_HRDL,90.18,1.85,2.34,2.39,0.0,0.9946,85.88,10.0,0,400
1015,A0_Full_HRDL,87.09,1.85,2.34,2.39,0.0,0.996,82.87,10.0,0,400
1016,A0_Full_HRDL,93.42,1.85,2.34,2.39,0.0,0.997,88.61,10.0,0,400
1017,A0_Full_HRDL,83.74,1.85,2.35,2.39,0.0,0.9763,80.69,10.0,0,400
1018,A0_Full_HRDL,87.84,1.85,2.35,2.39,0.0,0.9874,84.22,10.0,0,400
1019,A0_Full_HRDL,93.09,1.85,2.34,2.39,0.0,0.994,88.19,10.0,0,400
1020,A0_Full_HRDL,90.6,1.84,2.34,2.39,0.0,0.9976,86.53,10.0,0,400
1021,A0_Full_HRDL,93.75,1.85,2.35,2.39,0.0,0.9952,89.15,10.0,0,400
1022,A0_Full_HRDL,92.85,1.85,2.34,2.39,0.0,0.9907,89.04,10.0,0,395
1023,A0_Full_HRDL,92.7,1.86,2.34,2.39,0.0,0.9919,88.96,10.0,0,400
1024,A0_Full_HRDL,85.61,1.86,2.35,2.39,0.0,0.9813,82.14,10.0,0,400
1025,A0_Full_HRDL,84.34,1.85,2.35,2.39,0.0,0.9845,80.87,10.0,0,400
1026,A0_Full_HRDL,83.95,1.85,2.35,2.39,0.0,0.9832,80.6,10.0,0,400
1027,A0_Full_HRDL,90.08,1.85,2.34,2.39,0.0,0.9969,85.47,10.0,0,400
1028,A0_Full_HRDL,89.93,1.84,2.35,2.39,0.0,0.9896,85.53,10.0,0,400
1029,A0_Full_HRDL,90.64,1.86,2.35,2.39,0.0,0.9955,86.32,10.0,0,400
1030,A0_Full_HRDL,90.26,1.85,2.35,2.39,0.0,0.9913,86.02,10.0,0,400
1001,A1_wo_Memory,91.51,2.13,2.37,11.82,2.52,0.9954,87.19,5.0,0,401
1002,A1_wo_Memory,87.31,1.85,2.35,2.39,0.0,0.9866,84.25,5.0,0,400
1003,A1_wo_Memory,92.91,1.86,2.35,2.39,0.0,0.9957,89.12,5.0,0,400
1004,A1_wo_Memory,86.1,2.69,11.42,21.84,5.55,0.9965,83.69,5.0,0,404
1005,A1_wo_Memory,85.26,1.85,2.35,2.39,0.0,0.9945,81.84,5.0,0,400
1006,A1_wo_Memory,91.78,4.75,31.53,61.79,8.0,0.9978,88.19,5.0,0,413
1007,A1_wo_Memory,88.53,2.45,2.38,21.7,3.81,0.9866,84.99,5.0,0,404
1008,A1_wo_Memory,91.55,2.09,2.37,11.73,2.29,0.9972,87.8,5.0,0,401
1009,A1_wo_Memory,91.65,2.76,11.55,21.78,6.62,0.9932,87.12,5.0,0,404
1010,A1_wo_Memory,91.29,7.65,61.44,111.51,9.25,0.9943,86.96,5.0,0,427
1011,A1_wo_Memory,86.33,1.85,2.35,2.39,0.0,0.9893,83.54,5.0,0,400
1012,A1_wo_Memory,88.28,1.85,2.34,2.39,0.0,0.9971,84.31,5.0,0,400
1013,A1_wo_Memory,86.82,2.04,2.36,11.68,1.75,0.993,83.69,5.0,0,401
1014,A1_wo_Memory,90.03,1.85,2.35,2.39,0.0,0.997,85.95,5.0,0,400
1015,A1_wo_Memory,88.55,2.1,2.37,11.77,2.15,0.998,84.79,5.0,0,402
1016,A1_wo_Memory,91.88,2.12,2.37,11.73,2.42,0.9974,87.68,5.0,0,402
1017,A1_wo_Memory,84.85,1.85,2.35,2.39,0.0,0.983,81.9,5.0,0,400
1018,A1_wo_Memory,88.44,2.33,2.39,11.93,4.35,0.9928,84.96,5.0,0,403
1019,A1_wo_Memory,92.69,1.85,2.34,2.39,0.0,0.9957,87.97,5.0,0,400
1020,A1_wo_Memory,90.34,1.85,2.35,2.39,0.0,0.9975,86.37,5.0,0,400
1021,A1_wo_Memory,93.17,3.68,21.34,31.77,10.62,0.9961,88.84,5.0,0,411
1022,A1_wo_Memory,92.25,1.84,2.34,2.39,0.0,0.9949,88.51,5.0,0,400
1023,A1_wo_Memory,91.7,2.2,2.38,11.85,3.21,0.9948,88.16,5.0,0,401
1024,A1_wo_Memory,87.14,2.26,2.39,11.87,3.78,0.9895,83.3,5.0,0,402
1025,A1_wo_Memory,86.16,2.08,2.37,11.71,2.14,0.9914,82.4,5.0,0,403
1026,A1_wo_Memory,85.46,2.56,11.38,21.58,5.46,0.991,82.42,5.0,0,406
