episode,total_reward,total_cost,lagrange_multiplier
1,28.8184,1.5507,0.0422
2,28.8184,1.5507,0.042
3,28.8184,1.5507,0.0418
4,28.8184,1.5507,0.0416
5,28.8184,1.5507,0.0415
6,28.8184,1.5507,0.0413
7,28.8184,1.5507,0.0411
8,28.8184,1.5507,0.0409
9,28.8184,1.5507,0.0407
10,28.8184,1.5507,0.0405
11,28.8184,1.5507,0.0403
12,28.8184,1.5507,0.0401
13,28.8184,1.5507,0.0399
14,28.8184,1.5507,0.0397
15,28.8184,1.5507,0.0396
16,28.8184,1.5507,0.0394
17,28.8184,1.5507,0.0392
18,28.8184,1.5507,0.039
19,28.8184,1.5507,0.0388
20,28.8184,1.5507,0.0386
